StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,frustrate diff-com_1,action diff-com_1,action diff-com_2,action diff-com_3,action diff-com_4,box diff-com,frustrate diff-non_1,action diff-non_1,action diff-non_2,action diff-non_3,action diff-non_4,box diff-non,Frustrate easy-com_1,Action easy-com_1,Action easy-com_2,Action easy-com_3,Action easy-com_4,box easy-com,frustrate easy-non_1,action easy-non_1,action easy-non_2,action easy-non_3,action easy-non_4,box easy-non
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,frustrate diff-com - How frustrated do you feel about the cheating in the scenario above?,action diff-com - How likely would you do something in the scenario above?,action diff-com - How likely would you report to the professor that this student cheated after class?,action diff-com - How likely would you anonymously report that this student cheated after class?,action diff-com - How likely would you confront the cheating student at the end of the exam to suggest they confess?,"Are there other actions that you might take and are not listed above? If so, please elaborate in the box below.",frustrate diff-non - How frustrated do you feel about the cheating in the scenario above?,action diff-non - How likely would you do something in the scenario above?,action diff-non - How likely would you report to the professor that this student cheated after class?,action diff-non - How likely would you anonymously report that this student cheated after class?,action diff-non - How likely would you confront the cheating student at the end of the exam to suggest they confess?,"Are there other actions that you might take and are not listed above? If so, please elaborate in the box below.",Frustrate easy-com - How frustrated do you feel about the cheating in the scenario above?,Action easy-com - How likely would you do something in the scenario above?,Action easy-com - How likely would you report to the professor that this student cheated after class?,Action easy-com - How likely would you anonymously report that this student cheated after class?,Action easy-com - How likely would you confront the cheating student at the end of the exam to suggest they confess?,"Are there other actions that you might take and are not listed above? If so, please elaborate in the box below.",frustrate easy-non - How frustrated do you feel about the cheating in the scenario above?,action easy-non - How likely would you do something in the scenario above?,action easy-non - How likely would you report to the professor that this student cheated after class?,action easy-non - How likely would you anonymously report that this student cheated after class?,action easy-non - How likely would you confront the cheating student at the end of the exam to suggest they confess?,"Are there other actions that you might take and are not listed above? If so, please elaborate in the box below."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID24_1""}","{""ImportId"":""QID24_2""}","{""ImportId"":""QID24_3""}","{""ImportId"":""QID24_4""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_3""}","{""ImportId"":""QID18_4""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID19_1""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID23_TEXT""}"
2018-04-03 11:59:45,2018-04-03 12:00:25,0,128.180.158.193,100,40,1,2018-04-03 12:00:25,R_4SLnR2VMVWcknkd,,,,,40.590194702148,-75.354698181152,anonymous,EN,3,2,3,3,3,,2,3,3,3,3,BKjh,6,2,3,3,3,K,5,3,3,3,2,nO
2018-04-03 12:02:48,2018-04-03 12:03:43,0,128.180.27.117,100,54,1,2018-04-03 12:03:43,R_1EbvBYxQwgmmunK,,,,,40.590194702148,-75.354698181152,anonymous,EN,1,1,1,1,1,n,1,1,1,1,1,n,1,1,1,1,1,n,1,1,1,1,1,n
2018-04-03 12:09:51,2018-04-03 12:17:04,0,128.180.27.90,100,433,1,2018-04-03 12:17:05,R_sBzy5GiZ14MBNXX,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,6,4,5,2,,5,5,5,5,5,,5,5,5,5,5,,4,5,5,5,5,
2018-04-05 10:58:24,2018-04-05 11:05:37,0,128.180.27.117,100,432,1,2018-04-05 11:05:37,R_3hziZa9ILMyUskS,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,6,6,6,4,,4,5,3,5,2,,5,4,4,5,4,,4,5,3,5,2,
2018-04-05 10:58:16,2018-04-05 11:05:56,0,128.180.27.144,100,459,1,2018-04-05 11:05:56,R_2zpRrGz22sYWJBc,,,,,40.590194702148,-75.354698181152,anonymous,EN,2,1,1,1,1,,1,1,1,1,1,,3,1,1,1,1,,2,1,1,1,1,
2018-04-05 10:58:30,2018-04-05 11:05:57,0,128.180.27.79,100,446,1,2018-04-05 11:05:57,R_1rlzwcpSTsXDK78,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,3,3,3,2,,6,1,1,1,1,,6,1,1,1,1,,6,1,1,1,1,
2018-04-05 10:58:48,2018-04-05 11:06:28,0,128.180.27.149,100,460,1,2018-04-05 11:06:29,R_2R7JI5r2iAQP7Ih,,,,,40.590194702148,-75.354698181152,anonymous,EN,4,2,2,2,2,,3,2,2,2,2,,3,2,2,2,2,,2,2,2,2,2,
2018-04-05 11:06:08,2018-04-05 11:08:34,0,128.180.27.117,100,146,1,2018-04-05 11:08:34,R_20MCMNBGQix4TQf,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,2,2,5,1,,6,2,3,5,1,,6,2,2,5,1,,3,1,3,3,1,
2018-04-05 11:09:00,2018-04-05 11:32:58,0,128.180.27.117,100,1438,1,2018-04-05 11:32:58,R_246pWQGvIk4OiLY,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,3,3,6,1,,7,3,3,6,1,,7,3,3,5,1,,7,3,3,4,1,
2018-04-05 11:09:20,2018-04-05 12:09:33,0,128.180.27.90,100,3613,1,2018-04-05 12:09:33,R_vjhUfoweGYqiArT,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,7,7,7,5,,7,7,7,7,5,,7,7,7,7,5,,7,7,7,7,5,Uncurved classes are still effectively curved. The value of your A is decreased when more people get A's. (See no free lunch - any economist ever)
2018-04-05 12:09:52,2018-04-05 12:11:56,0,128.180.27.90,100,124,1,2018-04-05 12:11:56,R_2zAfqspIUos0397,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,4,2,2,2,,5,1,2,2,2,,5,2,2,2,2,,2,2,2,2,2,
2018-04-05 12:13:09,2018-04-05 12:34:53,0,128.180.27.90,100,1303,1,2018-04-05 12:34:53,R_1rBOgvcuZ9BRfb0,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,1,2,6,1,,6,1,2,3,1,,7,1,2,4,1,,6,1,2,3,1,
2018-04-05 11:08:52,2018-04-05 12:35:55,0,128.180.27.79,100,5223,1,2018-04-05 12:35:55,R_2cjzAMmp4jUI3rz,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,2,2,2,2,,6,2,2,2,2,,5,1,1,1,1,,6,1,1,1,1,
2018-04-05 11:09:31,2018-04-05 12:37:03,0,128.180.27.144,100,5252,1,2018-04-05 12:37:04,R_roiZR3Upu0CjZHX,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,3,2,4,2,,5,3,2,3,2,,6,3,2,4,2,,4,3,2,3,2,
2018-04-05 11:50:36,2018-04-05 12:37:14,0,128.180.27.117,100,2798,1,2018-04-05 12:37:14,R_1MQb2XiQgrEFATT,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,2,3,4,2,,6,2,2,4,2,,5,2,2,3,2,,5,2,1,2,1,
2018-04-05 12:37:37,2018-04-05 12:50:43,0,128.180.27.90,100,785,1,2018-04-05 12:50:44,R_3hcgzoqsrpBL8H7,,,,,40.590194702148,-75.354698181152,anonymous,EN,5,3,2,5,1,,5,3,1,5,1,,5,2,1,4,1,,4,3,1,4,1,
2018-04-05 11:09:16,2018-04-05 12:59:12,0,128.180.27.149,100,6596,1,2018-04-05 12:59:12,R_2CBrdhl3kK7mwJQ,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,4,4,7,2,,5,2,2,5,1,,6,3,3,5,1,,4,2,2,3,1,
2018-04-05 12:55:55,2018-04-05 12:59:33,0,128.180.27.90,100,218,1,2018-04-05 12:59:33,R_zUxlOZ6OPtK4SzL,,,,,40.590194702148,-75.354698181152,anonymous,EN,3,2,1,2,1,,2,1,1,2,1,,2,1,1,2,1,,2,1,2,3,1,
2018-04-05 13:00:21,2018-04-05 13:04:18,0,128.180.27.117,100,236,1,2018-04-05 13:04:18,R_2D2C6ur2YvmdGgD,,,,,40.590194702148,-75.354698181152,anonymous,EN,5,2,1,3,1,,4,1,1,2,1,,4,1,1,2,1,,3,2,1,2,1,
2018-04-05 13:00:00,2018-04-05 13:04:21,0,128.180.27.149,100,261,1,2018-04-05 13:04:22,R_1mOPPiwYqLEG7Az,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,5,4,6,1,,7,1,1,1,1,,5,1,1,1,1,,2,1,1,1,1,
2018-04-05 13:15:43,2018-04-05 13:18:29,0,128.180.27.117,100,166,1,2018-04-05 13:18:30,R_2YxCjcj9KiW5rEx,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,1,1,1,1,,7,1,1,1,1,,6,1,1,1,1,,3,1,1,1,1,
2018-04-05 13:04:47,2018-04-05 13:21:31,0,128.180.27.149,100,1004,1,2018-04-05 13:21:32,R_10oWwX8wGArOEN0,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,2,1,2,1,,5,2,1,1,1,,6,3,2,3,1,,1,1,1,1,1,
2018-04-05 13:28:28,2018-04-05 13:30:56,0,128.180.27.149,100,148,1,2018-04-05 13:30:56,R_0kMIFafMoDXkoZb,,,,,40.590194702148,-75.354698181152,anonymous,EN,5,1,1,1,1,,5,1,1,1,1,,4,1,1,1,1,,2,1,1,1,1,
2018-04-05 13:32:29,2018-04-05 13:37:06,0,128.180.27.149,100,277,1,2018-04-05 13:37:07,R_Dk0uY3NaAr2KoE1,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,1,1,1,1,"Nothing, would just focus on my exam. As long as I focus on doing well on my exam, the grade of the student cheating does not affect me ",5,1,1,1,1,,5,1,1,1,1,"As long as I don't fail the exam, that I don't care about the the student cheating enough to report him/her",5,1,1,1,1,
2018-04-05 13:41:40,2018-04-05 13:44:51,0,128.180.27.149,100,190,1,2018-04-05 13:44:52,R_3JhqRCBVUBHMXDf,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,1,1,1,1,I will complain to other students maybe they will report him,7,1,1,1,1,,7,1,1,1,1,,7,1,1,1,1,
2018-04-06 08:32:38,2018-04-06 08:36:16,0,128.180.27.149,100,217,1,2018-04-06 08:36:16,R_1GIEQAUmfov0kuw,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,2,5,6,2,,4,2,4,5,2,,6,3,4,6,3,,5,2,2,4,3,
2018-04-10 10:55:05,2018-04-10 11:00:01,0,128.180.27.144,100,295,1,2018-04-10 11:00:02,R_2zrbeehTRUNiKn3,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,2,2,4,3,,6,2,2,2,3,,5,2,2,2,2,,4,1,2,2,4,
2018-04-05 13:00:28,2018-04-10 11:01:18,0,128.180.27.90,100,424849,1,2018-04-10 11:01:18,R_2pWZsTXtQqIuxzs,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,1,1,1,1,,5,1,1,1,1,,5,1,1,1,1,,5,1,1,1,1,
2018-04-10 10:51:31,2018-04-10 11:02:08,0,128.180.27.149,100,636,1,2018-04-10 11:02:09,R_1jcuAqxjrQOY73a,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,5,3,5,1,,5,3,2,3,2,,5,4,3,5,3,,3,1,1,2,1,
2018-04-05 12:37:55,2018-04-10 11:03:08,0,128.180.27.117,100,426313,1,2018-04-10 11:03:09,R_3NyW4f8Ej4OEm19,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,2,2,3,2,,5,1,1,1,1,,6,2,2,3,1,,5,1,1,1,1,
2018-04-10 11:05:07,2018-04-10 11:07:55,0,128.180.27.149,100,168,1,2018-04-10 11:07:55,R_3D8fsjytKi0eeI3,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,3,4,4,2,,3,2,2,3,3,,5,2,2,3,2,,2,2,3,3,2,
2018-04-10 11:23:50,2018-04-10 11:33:35,0,128.180.27.90,100,585,1,2018-04-10 11:33:36,R_YWS7mXg1pQyqdrj,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,4,7,7,5,,7,1,4,7,1,,6,3,6,7,1,,4,1,2,4,1,
2018-04-10 11:00:56,2018-04-10 11:33:47,0,128.180.27.144,100,1970,1,2018-04-10 11:33:52,R_czEkeEBNjyZVLYl,,,,,40.590194702148,-75.354698181152,anonymous,EN,5,1,1,3,1,,5,1,1,2,1,,2,1,1,2,1,,1,1,1,1,1,
2018-04-10 11:23:44,2018-04-10 11:33:52,0,128.180.27.149,100,608,1,2018-04-10 11:33:53,R_8rmGuuPmySEnTgt,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,5,5,6,2,,4,3,3,4,2,,4,2,2,3,1,,2,1,1,1,1,
2018-04-10 11:25:08,2018-04-10 11:37:23,0,128.180.27.117,100,735,1,2018-04-10 11:37:24,R_smXsRHo8xC6TSql,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,5,2,6,2,,6,5,2,6,4,,7,5,2,6,4,,5,2,2,4,2,
2018-04-03 12:05:44,2018-04-03 12:05:56,0,128.180.27.79,5,11,0,2018-04-10 12:06:01,R_3FRL0RlODcusekJ,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-10 11:37:51,2018-04-10 12:06:39,0,128.180.27.90,100,1728,1,2018-04-10 12:06:40,R_1F3BR37f44FIUEV,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,5,5,6,6,,3,2,2,2,2,,5,4,2,4,5,,2,1,1,1,1,
2018-04-03 11:31:03,2018-04-03 12:06:56,0,128.180.27.144,5,2152,0,2018-04-10 12:07:11,R_27OMGL1jKLk4Red,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-10 12:07:49,2018-04-10 12:10:45,0,128.180.27.90,100,175,1,2018-04-10 12:10:46,R_Z4YkQ8FJIZZ0B4B,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,2,2,7,1,,7,2,2,6,1,,6,2,2,7,1,,6,2,2,6,1,
2018-04-10 12:19:59,2018-04-10 12:32:39,0,128.180.27.90,100,760,1,2018-04-10 12:32:40,R_3qOwpd43rbTpxvg,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,4,4,6,3,,2,3,1,3,2,,5,4,2,4,3,,4,1,1,3,2,
2018-04-10 12:20:00,2018-04-10 12:32:53,0,128.180.27.79,100,773,1,2018-04-10 12:32:54,R_308CtqCUzP1Y46T,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,1,2,2,2,,6,1,1,1,1,,5,1,1,1,1,,3,1,1,1,1,
2018-04-10 12:41:22,2018-04-10 12:53:50,0,128.180.27.90,100,747,1,2018-04-10 12:53:50,R_wMYUxnYb3VW0pSF,,,,,40.590194702148,-75.354698181152,anonymous,EN,5,3,2,3,3,,5,3,2,2,2,,4,2,2,3,3,,4,3,2,3,3,Make them aware that others saw them and if others don't have to cheat neither do they
2018-04-10 11:37:59,2018-04-10 12:58:37,0,128.180.27.144,100,4838,1,2018-04-10 12:58:38,R_1JRsztmMh51lerT,,,,,40.590194702148,-75.354698181152,anonymous,EN,3,2,2,2,2,,2,1,1,2,1,,4,2,2,2,3,,1,1,1,2,1,
2018-04-10 12:55:35,2018-04-10 13:06:13,0,128.180.27.90,100,638,1,2018-04-10 13:06:13,R_2VjBwDwNWe6wwoW,,,,,40.590194702148,-75.354698181152,anonymous,EN,5,2,2,2,2,"Same response as first scenario. ",5,2,2,2,3,"I would not do something because I feel that when someone cheats, the karma will come back to them.",5,2,2,2,2,Same response as the first question.,5,2,2,2,2,Same response as the previous question.
2018-04-10 13:06:51,2018-04-10 13:20:12,0,128.180.27.90,100,800,1,2018-04-10 13:20:12,R_DlcAUy6BUwzBJSh,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,2,1,2,1,,3,2,1,2,1,"I would probably tell my friends about it, but I wouldn't do anything that would cause any consequences for that student.",5,2,1,2,1,,2,1,1,1,1,
2018-04-10 11:37:46,2018-04-10 13:23:43,0,128.180.27.149,100,6357,1,2018-04-10 13:23:44,R_31jix1SOZnxepax,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,4,2,4,3,I would want to say something but would probably end up being too anxious over the interaction to actually do anything,6,5,4,5,3,I would try to gain the attention of a TA under the pretense of asking a question,4,4,3,3,3,,6,2,2,3,2,
2018-04-10 11:38:01,2018-04-10 13:34:28,0,128.180.27.117,100,6987,1,2018-04-10 13:34:28,R_2ysALryJsEWRXFq,,,,,40.590194702148,-75.354698181152,anonymous,EN,2,1,1,1,1,,2,1,1,1,1,,4,3,1,2,1,,3,1,1,1,1,
2018-04-10 13:01:29,2018-04-10 13:35:34,0,128.180.27.144,100,2044,1,2018-04-10 13:35:34,R_XRhONy6CpophtQd,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,2,1,2,1,,6,2,1,2,1,,6,1,1,2,1,,4,1,1,2,1,
2018-04-12 10:58:54,2018-04-12 11:02:35,0,128.180.27.117,100,220,1,2018-04-12 11:02:35,R_3Hie6weRDQp5eoj,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,2,2,3,2,,4,1,1,2,1,,4,1,1,2,1,,3,1,1,2,1,
2018-04-12 10:59:15,2018-04-12 11:02:40,0,128.180.27.90,100,205,1,2018-04-12 11:02:41,R_2QGxMa0yWiHFM18,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,4,6,6,1,,7,4,4,5,1,,6,4,4,4,1,,4,4,2,3,1,
2018-04-12 11:03:11,2018-04-12 11:29:06,0,128.180.27.90,100,1554,1,2018-04-12 11:29:06,R_1gMzBvwyaVAMlVX,,,,,40.590194702148,-75.354698181152,anonymous,EN,5,2,1,2,5,,3,1,1,1,3,,5,1,1,2,4,,4,1,1,1,2,
2018-04-12 10:59:02,2018-04-12 12:34:31,0,128.180.27.79,100,5729,1,2018-04-12 12:34:31,R_2YzSUAxbTNZyIDV,,,,,40.590194702148,-75.354698181152,anonymous,EN,4,3,3,4,1,,3,3,3,3,2,,3,3,2,2,1,,3,2,2,3,1,"I might just mention it to a friend or student, without the intent of reporting it."
2018-04-12 12:31:44,2018-04-12 12:49:34,0,128.180.27.90,100,1069,1,2018-04-12 12:49:34,R_3G83poh6hd8LABK,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,3,3,3,3,,5,2,2,2,2,,2,2,2,2,2,,4,2,1,1,1,
2018-04-12 12:57:29,2018-04-12 13:01:12,0,128.180.27.90,100,222,1,2018-04-12 13:01:12,R_1Famm2AU6PKBtz1,,,,,40.590194702148,-75.354698181152,anonymous,EN,2,6,1,1,1,,1,1,1,1,1,,2,1,1,1,1,,1,1,1,1,1,
2018-04-12 12:47:08,2018-04-12 13:05:53,0,128.180.27.79,100,1125,1,2018-04-12 13:05:54,R_1LVkcGToQorJf3z,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,3,4,7,3,,6,2,2,6,4,,6,2,1,6,4,,6,2,3,6,3,
2018-04-12 13:06:41,2018-04-12 13:26:20,0,128.180.27.90,100,1179,1,2018-04-12 13:26:21,R_3D0BArPh6L5yYhM,,,,,40.590194702148,-75.354698181152,anonymous,EN,7,6,4,7,7,,6,2,2,6,6,,5,1,2,5,2,,2,1,1,3,1,
2018-04-12 13:22:27,2018-04-12 13:33:04,0,128.180.27.79,100,637,1,2018-04-12 13:33:04,R_Yc4ymDfZrCXt9kt,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,3,2,2,2,,5,2,1,1,1,,5,2,2,2,2,,4,2,1,1,1,
2018-04-12 13:32:03,2018-04-12 13:35:01,0,128.180.27.90,100,178,1,2018-04-12 13:35:02,R_2Vptop2weSjQpc2,,,,,40.590194702148,-75.354698181152,anonymous,EN,5,4,4,4,3,,5,4,3,4,2,,4,3,3,4,2,,3,1,2,4,2,
2018-04-13 06:57:22,2018-04-13 07:01:55,0,128.180.27.90,100,272,1,2018-04-13 07:01:55,R_3I3ool8izlS1Phz,,,,,40.590194702148,-75.354698181152,anonymous,EN,4,3,3,3,3,,5,3,3,3,4,,3,4,3,4,5,,3,2,2,2,3,
2018-04-13 09:32:09,2018-04-13 09:36:54,0,128.180.27.90,100,284,1,2018-04-13 09:36:55,R_1FfRM8RD4mHgayV,,,,,40.590194702148,-75.354698181152,anonymous,EN,3,1,1,1,1,,2,1,1,1,1,,2,1,1,1,1,,2,1,1,1,1,
2018-04-13 09:36:32,2018-04-13 09:39:58,0,128.180.27.144,100,205,1,2018-04-13 09:39:59,R_2fptfwvAyh7vGj8,,,,,40.590194702148,-75.354698181152,anonymous,EN,6,5,5,6,4,,5,4,3,5,4,"If I knew the student, I may be more likely to say something to them directly.",4,4,3,5,4,,3,3,3,3,3,
